Mixture,Count
C[N+](=O)[O-],14
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CS(C)=O,17
CCCCCCCCCCCCCCC,1
CCCCCC | Cc1ccccc1,33
CCCCCCCCCCCC | CCCCC(=O)OCC,33
CCCC(=O)OC[C@@H]1CO1,1
CC1CCCCC1 | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,13
CCCO | CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,88
CC(=O)O | OCCO,38
C1CCOC1,7
CCCCOC(=O)CC | ClCCCCCl,15
OCCc1ccccc1,2
C[C@@H](N)c1ccccc1 | C[C@H](N)c1ccccc1,37
CCn1cc[n+](C)c1.F[B-](F)(F)F | CN1CCCC1=O,90
CCCCC(=O)OCC,2
C=CCCCC | CCCCCCCCCCCC,19
CCOC(=O)C(C)C,10
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCCCO,7
OCCO | O,13
CCCCCCO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,69
COC(=O)OC | CCCO,72
CCO | O,56
BrCCBr | CCOC=O,33
CO | O=CO | [Cl-].[Cl-].[Zn+2],12
O | OCCNCCO,17
CCOCCO | OCc1ccccc1,17
CCCCCCOCC,8
CCOC(=O)CC(C)=O | CC(C)O,78
COC(=O)OC | CCO,93
c1ccccc1 | ClCCc1ccccc1,11
CO | CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
COC(C)=O | CCCCCCCCCC,38
CCCO | CCCOC(C)=O,21
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N | O,116
C1CCCCC1,59
ClCCCl | CCCOC=O,27
CCCCCCCCCCCCCCCCC | CCCOC(=O)CC,17
CCCCCCC(C)=O | CCCCCCCCCCCCCCCC,55
COC(=O)OC | CCc1ccccc1,38
CCOC(C)=O | CCCCCCCCCCCCC,19
CC(C)(C)O | CCCCOC(=O)CC,31
CN1CCNCC1 | O,51
COP(=O)([O-])OC.Cn1cc[n+](C)c1 | CO,29
CCOC(=O)C(C)C | CCCCO,44
C1COCCN1 | C1COCCO1,9
CCCCOC(C)=O | CCCCCCC,18
CNc1ccccc1 | CCCCCCCC,9
C1CCNCC1,16
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCO,75
CCn1cc[n+](C)c1.F[B-](F)(F)F | CC(C)=O,90
CCCCC(=O)OCC | ClCCCCCCl,32
CCCOCCC | CC(C)C(C)C,20
OCCOCCOCCO,4
CCCCO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CCCCCCCCO | CCCCCCCCCCCC | CCCCOC(=O)CCC,40
C1COCCO1 | CCCCCCCC,19
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,9
CC(=O)CC(C)C,7
CCCCOC(C)=O | c1ccccc1,10
CCCCOCCCC | CCCCCCO,20
ClCCCCl,1
C1CCCC1 | CCCCCCCCCO,10
CCCCCCCCCC,47
C1CCCCC1 | C1COCCO1,9
CCCCCCCCCC(=O)OC | CCCCCCCC,19
OCCOCCOCCOCCO,4
OCCO | CCO,17
Clc1ccccc1,2
CCCCC(=O)OC | BrCCCCBr,25
CC(=O)c1ccccc1 | CO,72
CCOCCOCC,3
CO | O=CO,11
CCCC(=O)OCC | BrCCCCBr,28
CCCCOCCCC | c1ccccc1,30
CC(C)(C)O | CCCOC(C)=O,36
C1CCNCC1 | C1COCCO1,9
CC(C)OC(C)C | CCCCCCC,12
CCOC(C)=O | CCCCCCCC,122
CC(C)(C)O | CCOC(C)=O,34
BrCBr | CC#N,8
O=[N+]([O-])c1ccccc1 | CCCCCCCCCCCC,6
C1COCO1 | O=C1CCCCC1,17
CCn1cc[n+](C)c1.CS(=O)(=O)[O-],7
C1CCOCC1 | C1COCCN1,9
CC(=O)N(C)C | ClCCCCCCCl,22
CCC(C)=O | Nc1ccccc1,10
CCOC=O | CCCCCC,83
C1CCOCC1 | CCCC(C)=O,34
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CS(C)=O | CCc1ccccc1,12
CN(C)C=O | CCCCN,20
CCOc1ccccc1,1
CCOC(=O)CC(=O)OCC | CCCCCCC,114
CCCCC(=O)OC,9
CC(=O)c1ccccc1 | CC(C)CO,65
Cc1cccc(C)n1 | O,24
COC(=O)[C@H](C)CO,1
CCC(=O)OC | BrCCCCBr,33
CC(C)CC(C)(C)C,10
CCc1ccccc1,4
CCCOC=O | CCCCCCCCC,108
CCCCCCCCCCCCCCC | CCCCCOC(=O)CC,16
CCCO | c1ccccc1,38
CC(=O)N(C)C | CCCCCCN,19
c1ccncc1,52
COC(C)=O | BrCCCBr,33
CCOC=O | ClCCCCl,48
CCCCOC=O | BrCCCBr,26
CN1CCCC1=O | O=C1CCCCC1,16
CCCCCCCCCO | C1CCCCC1,9
C1CCOC1 | CCCCCCO,9
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCCCC,38
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCCCCC,13
ClCCCCCCCl,3
CCc1ccccc1 | ClCCCc1ccccc1,14
CCCCOCC(C)C,8
COC=O | BrCCCCCBr,29
CC(=O)N(C)C,3
OCCOCCO | CCO,17
CCC(=O)OC,4
CCCCCC(=O)CC | CCCCCCCCCCCCCCCC,52
BrCCBr | CCCCOC(=O)CC,27
CCCCCCCCCCCCCC,8
CCCCC(=O)OC | CC(C)CC(C)(C)C,34
CCO | CC(C)=O,19
CCCCOC=O | CCCCCC,89
[Au] | [Fe],2
BrCCBr | CCCCOC(=O)CCC,25
CCOC(=O)CC | ClCCCl,16
CCCCOC(C)=O | ClCCCl,16
CCN(CC)CC,2
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCCC,9
BrCCCCCCBr | CCCCOC(=O)CC,28
CC(C)(C)O | CCCC(=O)OCC,33
CCCOC=O | ClCCCCl,31
CCCCOC(=O)CCC | ClCCCCCCCl,14
CCCCOCCCC | C=CCCCC,37
COC(C)(C)C | CCCCO | CCCCCCCC,240
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F | COCCOCCO,31
CC1CCCCC1 | CN(C)C=O,17
CCOCCOCCOCCO,1
CCn1cc[n+](C)c1.N#C[S-],21
CC(=O)CC(C)=O,6
ClCCCCCl | CCCOC(=O)CCC,23
CCCC[N+]1(C)CCCC1.N#C[B-](C#N)(C#N)C#N | CCCO,39
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30
CCOC(C)=O | O,23
CCCCCOC=O | ClCCCl,31
CC(=O)N(C)C | CCCCN,17
COc1ccccc1 | OCCCc1ccccc1,29
CCOC(=O)C(=O)OCC | CCO,76
CC(=O)O | CC(=O)OCCO,9
CC(C)CO,6
[Au] | [Fe] | [Pd],18
CCOC=O | CCCCCCCCC,111
NCCNCCN | O,20
CCCOC(C)=O | C=CCCCC,13
COP(=O)(OC)OC | CCCO,18
CC(C)OC(C)C | CCO | CC(C)CC(C)(C)C,66
OC1=NCCC1,6
CCn1cc[n+](C)c1.N#C[S-] | O,150
BrCCBr | CCOC(C)=O,30
CCC(=O)OC | BrCCCCCCBr,31
CCCCCCCCCCCCC,1
CCCOC(C)=O | C#CCCCC,11
CC(=O)O | CCOC(C)=O,2
CS(C)=O | Brc1ccccc1,18
CCCCN,1
CC(=O)C(C)C,4
CCCCCC(=O)CC | CCCCCCCCCCCC,57
COC(C)=O | CCCC(=O)OC | CCCCCCCC,151
C1COCO1 | O=C1CCCC1,26
C1CCOCC1 | O=C1CCCC1,43
OCCN1CCNCC1 | O,36
O=Cc1ccccc1 | CCCO,12
CCCCOC=O | BrCCBr,28
C1CCCC1 | CCCCCCCCO,10
BrCCCCBr | CCCCOC(=O)CC,27
CC(C)OC(C)C | CCO,30
COC(C)=O | CCCCCCCCCCCCCCC,19
CCCCCO,49
CCCCNCCCC,2
ClCCCCCl | CCCOC(C)=O,26
COC=O,28
CCCCCC | FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,19
CCCCOC=O | CCCCCCCC,106
CCCOC(C)=O | CCCCC,47
CCCO | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,32
COP(=O)(OC)OC | CO,18
OCc1ccccc1 | CCO,10
CN1CCCC1=O | CCCCCl,23
C1CCOCC1,35
Cc1ccccc1Cl | C1COCCO1,72
CCCOCCC(C)C,8
CC(=O)c1ccccc1 | CCOC(C)=O,33
CN1CCCC1=O | CC(=O)CC(C)C,14
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,15
COCOC | c1ccccc1,13
O=Cc1ccccc1 | CO,12
CC(=O)c1ccccc1 | CCCCCO,65
C=C(C)C=O | c1ccccc1,10
CCCCOC=O | BrCCCCCBr,26
CCCCCCCCCC | CCCCOC=O,90
CCn1cc[n+](C)c1.F[B-](F)(F)F,53
CCOC(C)=O | CCCO,27
CN(C)C=O | CCCCCCN,19
CCOCCO | C1CCCCC1,58
CCCC(C)C | CN(C)C=O,13
C1CCOC1 | CCCCCCCO,9
CC(C)(C)O | CCCOC=O,34
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | O,73
CCn1cc[n+](C)c1.COS(=O)(=O)[O-],7
CCOC(C)=O | ClCCCl,35
C1COCCO1,24
CO | BrCBr,10
CCOC(C)=O | CCO,27
